"Name"	"TissueType"	"OncoTree1"	"OncoTree2"	"OncoTree3"	"OncoTree4"	"ccl_name"	"master_ccl_id"	"ccle_primary_site"	"ccle_primary_hist"	"ccle_hist_subtype_1"	"growth_mode"	"culture_media"	"media_composition"	"snp_fp_status"	"NAPY"	"TNBC"
"SNU-478"	"biliary_tract: carcinoma"	"Biliary_Tract"	NA	NA	NA	"SNU478"	"1109"	"biliary_tract"	"carcinoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"SNU-869"	"biliary_tract: carcinoma"	"Biliary_Tract"	NA	NA	NA	"SNU869"	"1126"	"biliary_tract"	"carcinoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"A-673"	"bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour"	"Bone"	"Ewing Sarcoma (ES)"	NA	NA	"A673"	"37"	"bone"	"Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor"	NA	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"CADO-ES1"	"bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour"	"Bone"	"Ewing Sarcoma (ES)"	NA	NA	"CADOES1"	"108"	"bone"	"Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"CAL-78"	"bone: dedifferentiated"	"Bone"	NA	NA	NA	"CAL78"	"120"	"bone"	"chondrosarcoma"	"dedifferentiated"	"adherent"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"G-292, clone A141B1"	"bone: osteosarcoma"	"Bone"	"Osteosarcoma (OS)"	NA	NA	"G292CLONEA141B1"	"262"	"bone"	"osteosarcoma"	NA	"adherent"	"MCCOYS5A002"	"\"McCoy's 5A, 20% FBS\""	"SNP-matched-reference"	NA	NA
"HOS"	"bone: osteosarcoma"	"Bone"	"Osteosarcoma (OS)"	NA	NA	"HOS"	"383"	"bone"	"osteosarcoma"	NA	"adherent"	"EMEM001"	"\"EMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"Hs 822.T"	"bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour"	"Bone"	"Fibroblast"	NA	NA	"HS822T"	"424"	"bone"	"Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor"	NA	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"Hs 888.T"	"bone: osteosarcoma"	"Bone"	"Osteosarcoma (OS)"	NA	NA	"HS888T"	"432"	"bone"	"osteosarcoma"	NA	"adherent"	"DMEM002"	"\"DMEM, 10% FBS, 4.5 g/L glucose, 1.5 g/L sodium bicarbonate\""	"SNP-not-tested"	NA	NA
"MG-63"	"bone: osteosarcoma"	"Bone"	"Osteosarcoma (OS)"	NA	NA	"MG63"	"673"	"bone"	"osteosarcoma"	NA	"adherent"	"MEM001"	"\"MEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"MHH-ES-1"	"bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour"	"Bone"	"Ewing Sarcoma (ES)"	NA	NA	"MHHES1"	"677"	"bone"	"Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"RD-ES"	"bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour"	"Bone"	"Ewing Sarcoma (ES)"	NA	NA	"RDES"	"963"	"bone"	"Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor"	NA	"suspension"	"RPMI004"	"\"RPMI, 5% FBS, 0.005 mg/mL insulin, 0.01 mg/mL transferrin, 30 nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine\""	"SNP-matched-reference"	NA	NA
"Saos-2"	"bone: osteosarcoma"	"Bone"	"Osteosarcoma (OS)"	NA	NA	"SAOS2"	"1004"	"bone"	"osteosarcoma"	NA	"adherent"	"MCCOYS5A003"	"\"McCoy's 5A, 15% FBS\""	"SNP-unconfirmed"	NA	NA
"SJSA-1"	"bone: osteosarcoma"	"Bone"	"Osteosarcoma (OS)"	NA	NA	"SJSA1"	"1032"	"bone"	"osteosarcoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"SK-ES-1"	"bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour"	"Bone"	"Ewing Sarcoma (ES)"	NA	NA	"SKES1"	"1035"	"bone"	"Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor"	NA	"adherent"	"MCCOYS5A003"	"\"McCoy's 5A, 15% FBS\""	"SNP-matched-reference"	NA	NA
"SK-N-MC"	"bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour"	"Bone"	"Ewing Sarcoma (ES)"	NA	NA	"SKNMC"	"1056"	"bone"	"Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor"	NA	"adherent"	"EMEM001"	"\"EMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"SW 1353"	"bone: chondrosarcoma"	"Bone"	"Chondrosarcoma (CHS)"	NA	NA	"SW1353"	"1154"	"bone"	"chondrosarcoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"TC-71"	"bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour"	"Bone"	"Ewing Sarcoma (ES)"	NA	NA	"TC71"	"1180"	"bone"	"Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor"	NA	"suspension"	"IMDM002"	"\"IMDM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"U-2 OS"	"bone: osteosarcoma"	"Bone"	"Osteosarcoma (OS)"	NA	NA	"U2OS"	"1226"	"bone"	"osteosarcoma"	NA	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"AU565"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"AU565"	"53"	"breast"	"carcinoma"	NA	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"BT-20"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"BT20"	"90"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"EMEM001"	"\"EMEM, 10% FBS\""	"SNP-matched-reference"	NA	"Breast Triple Negative"
"BT-474"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"BT474"	"97"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"DMEM006"	"\"DMEM, 20% FBS\""	"SNP-matched-reference"	NA	NA
"BT-549"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"BT549"	"99"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	"Breast Triple Negative"
"CAL-120"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"CAL120"	"111"	"breast"	"carcinoma"	NA	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	"Breast Triple Negative"
"CAL-148"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"CAL148"	"113"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"DMEM006"	"\"DMEM, 20% FBS\""	"SNP-matched-reference"	NA	"Breast Triple Negative"
"CAL-51"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"CAL51"	"117"	"breast"	"carcinoma"	NA	"adherent"	"DMEM006"	"\"DMEM, 20% FBS\""	"SNP-matched-reference"	NA	"Breast Triple Negative"
"CAL-85-1"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"CAL851"	"121"	"breast"	"carcinoma"	NA	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	"Breast Triple Negative"
"CAMA-1"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"CAMA1"	"125"	"breast"	"carcinoma"	NA	"adherent"	"EMEM001"	"\"EMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"DU4475"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"DU4475"	"226"	"breast"	"carcinoma"	"ductal_carcinoma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	"Breast Triple Negative"
"EFM-192A"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"EFM192A"	"236"	"breast"	"carcinoma"	NA	"adherent"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"HCC1143"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"HCC1143"	"295"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	"Breast Triple Negative"
"HCC1395"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"HCC1395"	"300"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	"Breast Triple Negative"
"HCC1419"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"HCC1419"	"301"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC1428"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"HCC1428"	"302"	"breast"	"carcinoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC1500"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"HCC1500"	"305"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC1569"	"breast: metaplastic_carcinoma"	"Breast"	"Metaplastic Breast Cancer (MBC)"	"Epithelial Type Metaplastic Breast Cancer (EMBC)"	NA	"HCC1569"	"306"	"breast"	"carcinoma"	"metaplastic_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-not-tested"	NA	NA
"HCC1806"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"HCC1806"	"309"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	"Breast Triple Negative"
"HCC1937"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"HCC1937"	"313"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-unconfirmed"	NA	"Breast Triple Negative"
"HCC1954"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"HCC1954"	"314"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC202"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"HCC202"	"315"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC2218"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"HCC2218"	"318"	"breast"	"carcinoma"	"ductal_carcinoma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HCC38"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"HCC38"	"330"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	"Breast Triple Negative"
"HDQ-P1"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"HDQP1"	"349"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	"Breast Triple Negative"
"HMC-1-8"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"HMC18"	"376"	"breast"	"carcinoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"Hs 578T"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"HS578T"	"400"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	"Breast Triple Negative"
"JIMT-1"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"JIMT1"	"501"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KPL-1"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"KPL1"	"569"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"MCF7"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"MCF7"	"646"	"breast"	"carcinoma"	NA	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"MDA-MB-157"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"MDAMB157"	"648"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-unconfirmed"	NA	"Breast Triple Negative"
"MDA-MB-231"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"MDAMB231"	"650"	"breast"	"carcinoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-not-tested"	NA	"Breast Triple Negative"
"MDA-MB-361"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"MDAMB361"	"651"	"breast"	"carcinoma"	NA	"adherent"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"MDA-MB-415"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"MDAMB415"	"652"	"breast"	"carcinoma"	NA	"adherent"	"RPMI017"	"\"RPMI, 15% FBS, 0.01 mg/ml insulin, 0.01 mg/ml glutathione\""	"SNP-not-tested"	NA	NA
"MDA-MB-453"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"MDAMB453"	"657"	"breast"	"carcinoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"MDA-MB-468"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"MDAMB468"	"658"	"breast"	"carcinoma"	NA	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	"Breast Triple Negative"
"SK-BR-3"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"SKBR3"	"1033"	"breast"	"carcinoma"	NA	"adherent"	"MCCOYS5A001"	"\"McCoy's 5A, 10% FBS\""	"SNP-matched-reference"	NA	NA
"T-47D"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"T47D"	"1175"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI018"	"\"RPMI, 10% FBS, 0.2 units/ml  bovine insulin (0.08 mg/ml)\""	"SNP-matched-reference"	NA	NA
"UACC-812"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"UACC812"	"1234"	"breast"	"carcinoma"	"ductal_carcinoma"	"mixed"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"ZR-75-1"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"ZR751"	"1285"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"ZR-75-30"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"ZR7530"	"1286"	"breast"	"carcinoma"	"ductal_carcinoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"42-MG-BA"	"central_nervous_system: astrocytoma_Grade_IV"	"Brain_CNS"	"Diffuse Glioma (DIFG)"	"Astrocytoma (ASTR)"	NA	"42MGBA"	"10"	"central_nervous_system"	"glioma"	"astrocytoma_Grade_IV"	"adherent"	"RPMIMEM001"	"\"RPMI:MEM (1:1), 10% FBS\""	"SNP-matched-reference"	NA	NA
"8-MG-BA"	"central_nervous_system: astrocytoma_Grade_IV"	"Brain_CNS"	"Diffuse Glioma (DIFG)"	"Astrocytoma (ASTR)"	NA	"8MGBA"	"22"	"central_nervous_system"	"glioma"	"astrocytoma_Grade_IV"	"adherent"	"EMEM005"	"\"EMEM, 20% FBS\""	"SNP-matched-reference"	NA	NA
"A172"	"central_nervous_system: astrocytoma_Grade_IV"	"Brain_CNS"	"Diffuse Glioma (DIFG)"	"Astrocytoma (ASTR)"	NA	"A172"	"25"	"central_nervous_system"	"glioma"	"astrocytoma_Grade_IV"	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"AM-38"	"central_nervous_system: astrocytoma_Grade_IV"	"Brain_CNS"	"Diffuse Glioma (DIFG)"	"Astrocytoma (ASTR)"	NA	"AM38"	"47"	"central_nervous_system"	"glioma"	"astrocytoma_Grade_IV"	"adherent"	"EMEM005"	"\"EMEM, 20% FBS\""	"SNP-matched-reference"	NA	NA
"Becker"	"central_nervous_system: astrocytoma_Grade_IV"	"Brain_CNS"	"Diffuse Glioma (DIFG)"	"Astrocytoma (ASTR)"	NA	"BECKER"	"59"	"central_nervous_system"	"glioma"	"astrocytoma_Grade_IV"	"adherent"	"EMEM001"	"\"EMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"CAS-1"	"central_nervous_system: astrocytoma_Grade_IV"	"Brain_CNS"	"Diffuse Glioma (DIFG)"	"Astrocytoma (ASTR)"	NA	"CAS1"	"130"	"central_nervous_system"	"glioma"	"astrocytoma_Grade_IV"	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"CCF-STTG1"	"central_nervous_system: astrocytoma"	"Brain_CNS"	"Diffuse Glioma (DIFG)"	"Astrocytoma (ASTR)"	NA	"CCFSTTG1"	"131"	"central_nervous_system"	"glioma"	"astrocytoma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
